,a1,a2,model_name,sample_size,rmse,mae,test_size,calculation_time
56,0.3333333333333333,0.0,svd,0.4,0.6959363777578148,0.5519733972997457,0.1,0 days 00:00:00.764299
57,0.3333333333333333,0.0,svd,0.6,0.6660264220094891,0.5233740446971363,0.1,0 days 00:00:01.153787
58,0.3333333333333333,0.0,svd,0.8,0.705974890957252,0.5609760535980631,0.1,0 days 00:00:01.295021
59,0.3333333333333333,0.0,svd,1.0,0.6708908845860043,0.5368820557659952,0.1,0 days 00:00:01.510597
60,0.3333333333333333,0.3333333333333333,svd,0.1,0.3291179201702285,0.2660864748022434,0.1,0 days 00:00:00.157827
61,0.3333333333333333,0.3333333333333333,svd,0.2,0.3409598422542765,0.2735100136288607,0.1,0 days 00:00:00.245049
62,0.3333333333333333,0.3333333333333333,svd,0.4,0.36820715697046474,0.28698019093072913,0.1,0 days 00:00:00.455953
63,0.3333333333333333,0.3333333333333333,svd,0.6,0.36242566239237134,0.2942444507706729,0.1,0 days 00:00:00.928563
64,0.3333333333333333,0.3333333333333333,svd,0.8,0.35457104274062917,0.28117824969645383,0.1,0 days 00:00:01.036516
65,0.3333333333333333,0.3333333333333333,svd,1.0,0.34612217985724597,0.2789291705855356,0.1,0 days 00:00:01.195566
66,0.6666666666666666,0.0,svd,0.1,0.35055890624623404,0.2874970896019374,0.1,0 days 00:00:00.379757
67,0.6666666666666666,0.0,svd,0.2,0.34080747936388645,0.27383419913382245,0.1,0 days 00:00:00.481766
68,0.6666666666666666,0.0,svd,0.4,0.35704858281853014,0.2810912280594556,0.1,0 days 00:00:00.675693
69,0.6666666666666666,0.0,svd,0.6,0.34173025942298535,0.2678335478438497,0.1,0 days 00:00:01.127643
70,0.6666666666666666,0.0,svd,0.8,0.3593451598072842,0.286396191548403,0.1,0 days 00:00:01.259863
71,0.6666666666666666,0.0,svd,1.0,0.341054135015091,0.27299232231175236,0.1,0 days 00:00:01.486225
